title,combined
Toy Story,jealousi toy boy tomhanks timallen donrickles johnlasseter animation comedy family
Jumanji,boardgam disappear basedonchildren'sbook robinwilliams jonathanhyde kirstendunst joejohnston adventure fantasy family
Grumpier Old Men,fish bestfriend duringcreditssting waltermatthau jacklemmon ann-margret howarddeutch romance comedy
Waiting to Exhale,basedonnovel interracialrelationship singlemoth whitneyhouston angelabassett lorettadevine forestwhitaker comedy drama romance
Father of the Bride Part II,babi midlifecrisi confid stevemartin dianekeaton martinshort charlesshyer comedy
Heat,robberi detect bank alpacino robertdeniro valkilmer michaelmann action crime drama
Sabrina,pari brotherbrotherrelationship chauffeur harrisonford juliaormond gregkinnear sydneypollack comedy romance
Tom and Huck,jonathantaylorthomas bradrenfro rachaelleighcook peterhewitt action adventure drama
Sudden Death,terrorist hostag explos jean-claudevandamme powersboothe dorianharewood peterhyams action adventure thriller
GoldenEye,cuba falselyaccus secretident piercebrosnan seanbean izabellascorupco martincampbell adventure action thriller
The American President,whitehous usapresid newlov michaeldouglas annettebening michaelj.fox robreiner comedy drama romance
Dracula: Dead and Loving It,dracula spoof leslienielsen melbrooks amyyasbeck melbrooks comedy horror
Balto,wolf dog-sleddingrac alaska kevinbacon bobhoskins bridgetfonda simonwells family animation adventure
Nixon,usapresid presidentialelect watergatescand anthonyhopkins joanallen powersboothe oliverstone history drama
Cutthroat Island,exoticisland treasur map geenadavis matthewmodine franklangella rennyharlin action adventure
Casino,poker drugabus 1970s robertdeniro sharonstone joepesci martinscorsese drama crime
Sense and Sensibility,bowl basedonnovel servant katewinslet emmathompson hughgrant anglee drama romance
Four Rooms,hotel newyear'sev witch timroth antoniobanderas jenniferbeals allisonanders crime comedy
Ace Ventura: When Nature Calls,africa indigen humananimalrelationship jimcarrey ianmcneice simoncallow steveoedekerk crime comedy adventure
Money Train,brotherbrotherrelationship subway newyorkc wesleysnipes woodyharrelson jenniferlopez josephruben action comedy crime
Get Shorty,gambl miami basedonnovel johntravolta genehackman renerusso barrysonnenfeld comedy thriller crime
Copycat,policebrut psycholog policeoper sigourneyweaver hollyhunter willpatton jonamiel drama thriller
Assassins,competit assassin cia sylvesterstallone antoniobanderas juliannemoore richarddonner action adventure crime
Powder,deadanim shottodeath teenageboy marysteenburgen seanpatrickflanery lancehenriksen victorsalva drama fantasy sciencefiction
Leaving Las Vegas,individu prostitut alcohol nicolascage elisabethshue juliansands mikefiggis drama romance
Othello,shakespear jealousi friend laurencefishburne irènejacob kennethbranagh oliverparker drama
Now and Then,1970s femalefriendship comingofag christinaricci rosieo'donnell thorabirch leslilinkaglatter comedy drama family
Persuasion,captain napoleonicwar oldflam amandaroot ciaránhinds susanfleetwood rogermichell drama romance
The City of Lost Children,clone dream island ronperlman dominiquepinon judithvittet jean-pierrejeunet fantasy sciencefiction adventure
Shanghai Triad,servant cabaret shanghai gongli libao-tian wangxiaoxiao zhangyimou drama crime
Dangerous Minds,rapmus karat highschool michellepfeiffer georgedzundza courtneyb.vance johnn.smith drama crime
Twelve Monkeys,schizophrenia philadelphia cassandrasyndrom brucewillis madeleinestowe bradpitt terrygilliam sciencefiction thriller mystery
Wings of Courage,craigsheffer elizabethmcgovern tomhulce jean-jacquesannaud romance adventure
Babe,sheep pig affect christinecavanaugh miriammargolyes dannymann chrisnoonan fantasy drama comedy
Carrington,england painter conscientiousobjector emmathompson jonathanpryce stevenwaddington christopherhampton history drama romance
Dead Man Walking,prison rape sociallydeprivedfamili susansarandon seanpenn robertprosky timrobbins drama
Across the Sea of Time,peterreznick johnmcdonough avihoffman stephenlow adventure history drama
It Takes Two,orphan identicaltwin kirstiealley steveguttenberg ashleyolsen andytennant comedy family romance
Clueless,puberti highschool makeamatch aliciasilverstone staceydash brittanymurphy amyheckerling comedy drama romance
"Cry, the Beloved Country",southafrica jamesearljones charless.dutton jackrobinson darrelljamesroodt drama
Richard III,england shakespear kidnap ianmckellen annettebening jimbroadbent richardloncraine drama war
Dead Presidents,money lossofvirgin hidinginadumpst larenztate keithdavid christucker alberthughes action crime drama
Restoration,jealousi medicin fountain robertdowneyjr. megryan samneill michaelhoffman drama romance
Mortal Kombat,martialart monster island christopherlambert robinshou lindenashby paulw.s.anderson action fantasy
To Die For,adulteri winter obsess nicolekidman mattdillon joaquinphoenix gusvansant fantasy drama comedy
How To Make An American Quilt,weddingvow marriagepropos marriedcoupl winonaryder annebancroft ellenburstyn jocelynmoorhouse drama romance
Se7en,self-fulfillingpropheci detect s.w.a.t. bradpitt morganfreeman gwynethpaltrow davidfincher crime mystery thriller
Pocahontas,cultureclash settler forbiddenlov irenebedard melgibson davidogdenstiers mikegabriel adventure animation drama
When Night Is Falling,professor lgbt womandirector pascalebussières rachaelcrawford henryczerny patriciarozema drama romance
The Usual Suspects,law relat theft stephenbaldwin gabrielbyrne chazzpalminteri bryansinger drama crime thriller
Guardian Angel,cynthiarothrock marshallr.teague danielmcvicar richardw.munchkin action thriller drama
Mighty Aphrodite,prostitut adopt adoptivefath woodyallen mirasorvino helenabonhamcarter woodyallen comedy romance
Lamerica,independentfilm enricoloverso micheleplacido piromilkani gianniamelio drama foreign
The Big Green,sport kidsandfamili soccer steveguttenberg oliviad'abo jayo.sanders hollygoldbergsloan action adventure comedy
Georgia,alcohol artist music jenniferjasonleigh marewinningham tedlevine ulugrosbard drama
Kids of the Round Table,johnnymorina malcolmmcdowell maggiecastle roberttinnell
Home for the Holidays,baltimor thanksgiv familyclan hollyhunter robertdowneyjr. annebancroft jodiefoster comedy drama romance
The Postman,island letter postman philippenoiret massimotroisi mariagraziacucinotta michaelradford comedy drama romance
The Confessional,lothairebluteau patrickgoyette jean-louismillette robertlepage thriller drama mystery
The Indian in the Cupboard,cupboard game puppet halscardino litefoot lindsaycrouse frankoz adventure family fantasy
Eye for an Eye,rape gun self-defens sallyfield kiefersutherland edharris johnschlesinger drama thriller
Mr. Holland's Opus,compos mentor deaf-mut richarddreyfuss glenneheadly jaythomas stephenherek music drama family
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,date slang hip-hop shawnwayans marlonwayans traceycherellejones parisbarclay comedy
Two If by Sea,island paint thief sandrabullock denisleary yaphetkotto billbennett comedy romance
Bio-Dome,biotop vegetarian pollut paulyshore stephenbaldwin joeylaurenadams jasonbloom comedy
Lawnmower Man 2: Beyond Cyberspace,hacker virtualr comput patrickbergin mattfrewer austino'brien farhadmann action sciencefiction
Two Bits,jerrybarone alpacino maryelizabethmastrantonio jamesfoley drama family
French Twist,lovetriangl southernfr estateag victoriaabril josianebalasko alainchabat josianebalasko comedy romance
Friday,rapmus parentchildrelationship rapper icecube christucker nialong f.garygray comedy
From Dusk Till Dawn,danc brotherbrotherrelationship sexualobsess georgeclooney quentintarantino harveykeitel robertrodriguez horror action thriller
Fair Game,bomb miami sex williambaldwin cindycrawford stevenberkoff andrewsipes action thriller romance
Kicking and Screaming,colleg joshhamilton oliviad'abo carlosjacott noahbaumbach comedy drama romance
Les Miserables,pari nun boxer jean-paulbelmondo michelboujenah alessandramartines claudelelouch drama history
Bed of Roses,florist familyrelationship christianslater marystuartmasterson pamelaadlon michaelgoldenberg drama romance
Big Bully,bulli rickmoranis tomarnold juliannephillips steveminer comedy family
Screamers,manvsmachin alienplanet struggleforsurviv peterweller roydupuis jenniferrubin christianduguay horror sciencefiction
Nico Icon,nico tinaaumont jacksonbrowne susanneofteringer documentary
The Crossing Guard,lossofdaught hit-and-rundriving reveng jacknicholson davidmorse anjelicahuston seanpenn drama thriller
The Juror,juror blackmail courtcas demimoore alecbaldwin josephgordon-levitt briangibson drama thriller
The White Balloon,fish money celebr aidamohammadkhani mohsenkafili fereshtehsadreorafaiy jafarpanahi family drama
Things to Do in Denver When You're Dead,fathersonrelationship bountyhunt boat andygarcía christopherlloyd williamforsythe garyfleder drama crime
Antonia's Line,suicid underdog freelov willekevanammelrooy elsdottermans doravandergroen marleengorris drama comedy
Once Upon a Time... When We Were Colored,"racialsegreg familyrelationship ruralset alfreeman,jr. phyliciarashād paulakelly timreid romance drama"
Last Summer in the Hamptons,victoriafoyt vivecalindfors jonrobinbaitz henryjaglom
Angels and Insects,classsocieti richwoman-poorman scientist markrylance kristinscottthomas patsykensit philiphaas drama romance
White Squall,sailingtrip diari sail jeffbridges carolinegoodall johnsavage ridleyscott action drama
Dunston Checks In,boss fistfight bulli jasonalexander fayedunaway ericlloyd kenkwapis adventure comedy family
Black Sheep,nitrousoxid candidcamera doubleact chrisfarley davidspade grantheslov penelopespheeris comedy
Nick of Time,assassin trainstat polit johnnydepp courtneychase charless.dutton johnbadham crime drama thriller
The Journey of August King,jasonpatric thandienewton larrydrake johnduigan drama
Mary Reilly,servant monster laboratori juliaroberts johnmalkovich georgecole stephenfrears drama horror thriller
Vampire in Brooklyn,vampir halfvampir eddiemurphy angelabassett allenpayne wescraven comedy horror romance
Beautiful Girls,hometown mattdillon noahemmerich annabethgish teddemme comedy drama romance
Broken Arrow,helicopt river captain johntravolta christianslater samanthamathis johnwoo action adventure drama
A Midwinter's Tale,play hamlet christma richardbriers joancollins michaelmaloney kennethbranagh comedy
La Haine,pari neo-nazi skinhead vincentcassel hubertkoundé saïdtaghmaoui mathieukassovitz drama
Shopping,sadiefrost judelaw seanpertwee paulw.s.anderson action adventure drama
Heidi Fleiss: Hollywood Madam,narrat hollywood prostitut nickbroomfield heidifleiss madamalex nickbroomfield documentary
City Hall,corrupt undercov warondrug alpacino johncusack bridgetfonda haroldbecker drama thriller
Bottle Rocket,brotherbrotherrelationship robberi burglar lukewilson owenwilson lumicavazos wesanderson comedy crime drama
Mr. Wrong,ellendegeneres billpullman joancusack nickcastle comedy romance
Unforgettable,wifehusbandrelationship experi polic rayliotta lindafiorentino petercoyote johndahl drama mystery sciencefiction
Happy Gilmore,lossofmoth lossoffath golf adamsandler benstiller christophermcdonald dennisdugan comedy
The Bridges of Madison County,farewel adulteri loveatfirstsight merylstreep clinteastwood anniecorley clinteastwood drama romance
Nobody Loves Me,propheci voodoo singl mariaschrader pierresanoussi-bliss michaelvonau dorisdörrie drama comedy family
Muppet Treasure Island,island pirategang puppet timcurry kevinbishop jennifersaunders brianhenson action comedy music
Catwalk,christyturlington azzedinealaïa giorgioarmani robertleacock documentary
Headless Body in Topless Bar,ex-con raymondj.barry rustambranaman jennifermacdonald jamesbruce crime
Braveheart,individu scotland inlovewithenemi melgibson catherinemccormack sophiemarceau melgibson action drama history
Taxi Driver,vietnamveteran taxi obsess robertdeniro cybillshepherd harveykeitel martinscorsese crime drama
Rumble in the Bronx,newyork martialart supermarket jackiechan anitamui françoiseyip stanleytong crime action comedy
Before and After,merylstreep liamneeson edwardfurlong barbetschroeder drama thriller
Margaret's Museum,mine dancelesson coalmin helenabonhamcarter cliverussell craigolejnik mortransen drama
Happiness Is in the Field,bestfriend twin countri michelserrault eddymitchell sabineazéma étiennechatiliez comedy
Anne Frank Remembered,fascism auschwitz typhus kennethbranagh glennclose jonblair documentary drama foreign
The Young Poisoner's Handbook,londonengland poison basedontruestori tobiasarnold ruthsheen rogerlloydpack benjaminross comedy crime drama
If Lucy Fell,roommat singl love sarahjessicaparker ellemacpherson scarlettjohansson ericschaeffer comedy romance
Steal Big Steal Little,brotherbrotherrelationship twinbroth lawyer andygarcía alanarkin rachelticotin andrewdavis comedy drama
Race the Sun,hawaii australia teacher halleberry jimbelushi caseyaffleck charlest.kanganis action adventure comedy
The Boys of St. Vincent,henryczerny johnnymorina briandooley johnn.smith drama
Boomerang,roleofwomen ladykil success eddiemurphy robingivens halleberry reginaldhudlin comedy romance
Chungking Express,ex-girlfriend drugsmuggl girlfriend brigittelin tonyleungchiu-wai fayewong wongkar-wai drama comedy romance
The Star Maker,sergiocastellitto tizianalodato francoscaldati giuseppetornatore drama romance
Flirting with Disaster,lsd lookingforbirthpar half-broth benstiller patriciaarquette téaleoni davido.russell comedy romance
The Neverending Story III: Escape from Fantasia,fli magic jasonjamesrichter melodykay kevinmcnulty petermacdonald fantasy
The Silences of the Palace,womandirector amelhedhili najiaouerghi fatimabensaïdane moufidatlatli drama
Jupiter's Wife,maggiecogan michelnegroponte
Pie in the Sky,joshcharles anneheche johngoodman bryangordon comedy romance
Angela,independentfilm womandirector mirandarhyne charlotteeveblythe annalevine rebeccamiller comedy drama
Frankie Starlight,boy writer ireland mattdillon corbanwalker gabrielbyrne michaellindsay-hogg drama romance war
Jade,callgirl sanfrancisco investig davidcaruso lindafiorentino chazzpalminteri williamfriedkin action thriller mystery
Nueba Yol,newyork emigr dominicanrepubl luisitomarti alfonsozayas caridadravelo ángelmuñiz comedy drama romance
Sonic Outlaws,lloyddunn chrisgrigg markhosler craigbaldwin music documentary
Down Periscope,submarin u.s.navi misfit kelseygrammer laurenholly robschneider davids.ward comedy
From the Journals of Jean Seberg,biographi jeanseberg marybethhurt markrappaport documentary
Man of the Year,homosexu independentfilm mockumentari dirkshafer marystein claudettesutherland dirkshafer comedy
The Neon Bible,southernusa basedonnovel singer jacobtierney drakebell genarowlands terencedavies drama
Target,sandipray
Up Close & Personal,skabundertv foran nederstehyld robertredford michellepfeiffer stockardchanning jonavnet drama romance
The Birdcage,gay dragqueen homophobia robinwilliams genehackman nathanlane mikenichols comedy
The Brothers McMullen,love independentfilm bestfriend sharialbert maxinebahns catharinebolz edwardburns comedy drama romance
Bad Boys,miami detect handcuff willsmith martinlawrence téaleoni michaelbay action comedy crime
The Amazing Panda Adventure,china panda poacher stephenlang ryanslater yiding christophercain action adventure drama
The Basketball Diaries,sport basketbal addict leonardodicaprio lorrainebracco jamesmadio scottkalvert drama crime
An Awfully Big Adventure,england basedonnovel liverpool alanrickman hughgrant georginacates mikenewell romance drama comedy
Amateur,independentfilm isabellehuppert martindonovan elinalöwensohn halhartley crime comedy drama
Apollo 13,moon florida nasa tomhanks billpaxton kevinbacon ronhoward drama
Rob Roy,scotland biographi 18thcenturi liamneeson jessicalange johnhurt michaelcaton-jones adventure
The Addiction,newyork philosophi vampir lilitaylor christopherwalken annabellasciorra abelferrara drama horror
Batman Forever,riddl dccomic rose valkilmer tommyleejones jimcarrey joelschumacher action crime fantasy
Belle de Jour,prostitut adulteri doublelif catherinedeneuve michelpiccoli jeansorel luisbuñuel drama romance
Beyond Rangoon,burma rangoon doctor patriciaarquette francesmcdormand uaungko johnboorman drama thriller
Blue in the Face,smoke cornershop cigarett harveykeitel loureed michaelj.fox paulauster comedy
Canadian Bacon,johncandy alanalda rheaperlman michaelmoore action comedy
Casper,halloween friendship supernatur christinaricci billpullman cathymoriarty bradsilberling fantasy comedy family
Clockers,drugpush train drug harveykeitel johnturturro delroylindo spikelee mystery crime drama
Congo,gorilla kongo diamondmin lauralinney dylanwalsh erniehudson frankmarshall action adventure drama
Crimson Tide,submarin mutini russia denzelwashington genehackman mattcraven tonyscott action thriller drama
Crumb,underground biographi art robertcrumb alinekominsky charlescrumb terryzwigoff documentary
Desperado,gunsling antiterror ambush antoniobanderas salmahayek joaquimdealmeida robertrodriguez thriller action crime
Devil in a Blue Dress,jazzclub murder losangel denzelwashington tomsizemore jenniferbeals carlfranklin drama mystery thriller
